backers_count,final_status,amount,time_to_achieve,completion_before_deadline
2,0,7443.0,2,1
61,1,3995.0,10,1
25,0,10500.0,8,1
88,0,5000.0,8,1
44,1,2000.0,5,1
16,1,600.0,8,1
34,0,3000.0,19,1
29,0,1500.0,10,1
3,0,250.0,0,1
42,1,1500.0,10,1
85,1,7840.0,4,1
3,0,2000.0,0,1
0,0,50.0,0,1
70,0,20000.0,3,1
0,0,25000.0,0,1
0,0,7000.0,0,1
59,1,150.0,3,1
9,0,3000.0,1,1
1,0,200.0,6,1
0,0,5000.0,5,1
8,0,2500.0,0,1
0,0,2500.0,0,1
103,1,3000.0,1,1
88,1,3000.0,0,1
74,1,5000.0,12,1
69,1,5000.0,4,1
0,0,2500.0,16,1
31,0,5000.0,0,1
2,0,600.0,69,1
4,0,10000.0,0,1
25,1,800.0,1,1
73,1,3000.0,1,1
0,0,1000.0,6,1
0,0,50000.0,0,1
28,1,500.0,0,1
0,0,8500.0,28,1
16,0,5111.0,29,1
19,0,3000.0,14,1
82,1,2500.0,24,1
82,0,20000.0,0,1
9,0,1000.0,51,1
130,1,5000.0,2,1
0,0,5000.01,0,1
37,1,2500.0,1,1
1,0,10000.0,0,1
88,1,3131.0,61,1
0,0,10000.0,0,1
38,0,3500.0,0,1
1,0,3000.0,0,1
90,1,5000.0,0,1
7,0,50000.0,12,1
38,0,2799.0,1,1
0,0,100.0,6,1
76,1,2500.0,91,1
0,0,20000.0,4,1
30,0,10000.0,0,1
27,1,1000.0,6,1
16,0,10000.0,4,1
3,0,800.0,0,1
0,0,10500.0,1,1
124,1,8000.0,30,1
39,0,6720.0,6,1
0,0,20000.0,4,1
2,0,5000.0,1,1
1,0,3000.0,13,1
0,0,3000.0,1,1
83,1,3500.0,1,1
0,0,5000.0,5,1
29,0,5000.0,1,1
38,0,5555.0,5,1
0,0,8000.0,17,1
2,0,800.0,1,1
0,0,200.0,5,1
88,0,10000.0,14,1
15,0,1410.0,0,1
10,1,700.0,7,1
28,0,1250.0,4,1
7,1,800.0,0,1
0,0,4000.0,1,1
3,0,5000.0,0,1
200,0,15000.0,6,1
6,0,4000.0,6,1
54,1,5000.0,1,1
132,1,3000.0,7,1
1,0,1500.0,9,1
0,0,7000.0,1,1
156,1,10000.0,3,1
0,0,24000.0,0,1
0,0,10000.0,0,1
1,0,2500.0,15,1
7,0,10000.0,11,1
38,1,1824.79,11,1
10,0,2000.0,0,1
21,0,1500.0,24,1
12,0,7000.0,21,1
41,0,324.29,2,1
1,0,3000.0,22,1
0,0,1500.0,1,1
7,0,7500.0,1,1
7,0,200.0,0,1
0,0,5000.0,0,1
39,0,3000.0,8,1
22,1,1000.0,0,1
24,1,750.0,9,1
189,1,2000.0,8,1
10,0,2500.0,5,1
7,0,10000.0,1,1
1,0,2000.0,0,1
7,0,1100.0,1,1
4,0,2000.0,0,1
0,0,6000.0,0,1
2,0,3000.0,3,1
0,0,8000.0,0,1
101,0,5500.0,25,1
3,0,4000.0,22,1
4,0,800.0,0,1
36,1,1000.0,32,1
17,1,1000.0,12,1
44,0,6000.0,6,1
1,0,1500.0,0,1
7,0,7500.0,6,1
40,0,3000.0,7,1
12,1,950.0,64,1
79,0,7000.0,6,1
1,0,5000.0,17,1
15,0,430.0,4,1
105,1,7000.0,9,1
1,0,10000.0,31,1
41,1,2000.0,9,1
1,0,10000.0,3,1
0,0,2000.0,10,1
0,0,2500.0,0,1
57,1,2500.0,83,1
2,0,1500.0,0,1
41,1,1000.0,0,1
20,0,5000.0,1,1
5,0,500.0,10,1
32,0,5000.0,0,1
68,0,5000.0,6,1
0,0,5000.0,1,1
17,0,2000.0,15,1
59,1,3500.0,2,1
275,1,3000.0,36,1
0,0,2500.0,1,1
12,0,2000.0,0,1
17,0,3500.0,20,1
7,1,200.0,3,1
5,0,8500.0,0,1
38,1,2000.0,1,1
23,0,800.0,4,1
48,1,2500.0,1,1
7,1,110.0,0,1
29,0,6000.0,1,1
77,1,2000.0,9,1
1,0,1200.0,0,1
4,0,3500.0,6,1
4,0,5000.0,7,1
4,0,10000.0,18,1
120,1,5000.0,14,1
37,0,1700.0,0,1
2,0,10000.0,2,1
342,1,25000.0,2,1
59,0,5000.0,19,1
15,0,300.0,0,1
16,1,576.0,1,1
65,1,2000.0,1,1
105,1,3000.0,29,1
78,1,10000.0,10,1
76,1,2000.0,3,1
0,0,3888.0,0,1
52,1,2500.0,34,1
3,0,8000.0,22,1
0,0,1400.0,0,1
5,0,58692.0,4,1
19,0,4000.0,1,1
54,1,1000.0,10,1
2,0,2000.0,18,1
19,0,3000.0,26,1
0,0,2000.0,21,1
7,0,3500.0,2,1
1,0,500.0,0,1
70,0,1000.0,2,1
57,1,2600.0,5,1
1,0,350.0,0,1
92,0,20000.0,12,1
34,1,2500.0,4,1
4,0,5000.0,14,1
6,0,500.0,0,1
49,0,10000.0,14,1
2,0,2500.0,1,1
12,0,16000.0,1,1
53,0,17950.0,5,1
373,0,25000.0,2,1
27,1,2000.0,0,1
46,1,3000.0,28,1
46,1,10000.0,1,1
16,0,100.0,0,1
26,1,300.0,2,1
43,1,5000.0,2,1
2,1,22.0,0,1
64,0,1200.0,12,1
1,0,2500.0,5,1
166,1,7500.0,5,1
26,1,2000.0,2,1
8,0,4000.0,1,1
6,0,1200.0,1,1
24,0,1500.0,2,1
15,0,500.0,14,1
15,1,150.0,0,1
2,0,4500.0,0,1
2,0,1000.0,1,1
51,1,5000.0,1,1
11,1,1000.0,0,1
174,1,10000.0,15,1
0,0,1000.0,1,1
0,0,10000.0,10,1
19,1,2400.0,1,1
9,0,144.0,0,1
47,1,6000.0,2,1
369,1,15000.0,2,1
21,1,1000.0,13,1
1,0,4000.0,0,1
14,1,2000.0,1,1
3,0,6000.0,22,1
39,0,2500.0,0,1
42,1,2000.0,12,1
41,1,2000.0,20,1
167,1,8500.0,6,1
49,1,4250.0,1,1
13,0,2000.0,1,1
89,0,5000.0,15,1
6,0,11000.0,0,1
24,0,2000.0,29,1
4,0,153.0,0,1
34,1,1000.0,8,1
0,0,7500.0,4,1
10,0,10000.0,0,1
11,0,10000.0,5,1
4,0,7000.0,2,1
14,0,2000.0,0,1
0,0,250000.0,3,1
26,0,1200.0,6,1
0,0,7500.0,0,1
151,1,7600.0,2,1
38,0,5000.0,12,1
56,0,6000.0,0,1
29,0,3000.0,32,1
27,0,1000.0,5,1
41,1,2300.0,0,1
5,0,1500.0,1,1
14,1,1663.0,0,1
1,0,5000.0,1,1
40,1,2500.0,12,1
28,0,1800.0,1,1
1,0,1200.0,1,1
2,0,2000.0,1,1
24,1,1000.0,1,1
21,1,1000.0,9,1
0,0,500.0,0,1
3,0,105.0,0,1
6,0,1000.0,1,1
0,0,10000.0,16,1
69,1,4000.0,9,1
16,0,4000.0,1,1
3,0,53000.0,0,1
79,0,2800.0,53,1
0,0,999.0,7,1
110,1,2500.0,0,1
81,1,15500.0,4,1
1,0,10000.0,0,1
63,0,3500.0,2,1
13,0,1000.0,3,1
31,1,3000.0,1,1
9,0,4500.0,82,1
31,1,1500.0,0,1
6,1,0.01,0,1
108,0,10000.0,49,1
36,1,1000.0,2,1
50,1,2500.0,13,1
25,1,1000.0,38,1
45,1,6000.0,169,1
42,1,1000.0,0,1
184,0,7000.0,0,1
8,0,1000.0,0,1
17,0,1600.0,11,1
15,1,600.0,2,1
33,0,3000.0,23,1
69,1,3000.0,1,1
38,1,1000.0,6,1
34,1,500.0,10,1
88,0,6000.0,10,1
28,1,1200.0,0,1
18,1,1250.0,97,1
3,0,2000.0,8,1
20,1,3000.0,70,1
6,0,6231.14,38,1
42,1,1250.0,14,1
72,1,5567.0,12,1
150,0,11000.0,6,1
3,0,3500.0,15,1
8,0,1600.0,2,1
1,0,7500.0,8,1
48,1,4500.0,12,1
21,0,2000.0,1,1
4,0,10000.0,0,1
30,1,1200.0,16,1
0,0,1000.0,47,1
65,1,3500.0,0,1
63,1,2500.0,0,1
38,1,2000.0,3,1
63,0,14000.0,1,1
6,0,24000.0,1,1
11,1,144.0,1,1
0,0,12000.0,4,1
0,0,3500.0,40,1
152,1,10000.0,3,1
15,1,500.0,14,1
205,0,25000.0,5,1
192,1,5000.0,26,1
54,0,7000.0,1,1
17,0,5000.0,0,1
40,1,750.0,2,1
4,0,5000.0,23,1
9,0,10000.0,2,1
5,1,500.0,20,1
3,0,1000.0,2,1
10,0,6000.0,3,1
37,1,1000.0,17,1
111,1,5000.0,6,1
165,1,10000.0,6,1
41,1,6500.0,5,1
5,0,25000.0,0,1
27,1,1000.0,4,1
47,1,600.0,0,1
20,1,800.0,1,1
13,0,3500.0,3,1
4,0,850.0,1,1
0,0,100.0,0,1
359,1,12000.0,7,1
40,1,3000.0,5,1
7,0,5000.0,27,1
28,0,1500.0,1,1
49,0,2000.0,26,1
1,0,3000.0,0,1
67,0,4500.0,1,1
2,0,1000.0,0,1
37,1,1600.0,0,1
30,0,12000.0,5,1
1,0,5000.0,0,1
46,1,4000.0,8,1
16,0,1000.0,59,1
25,1,2500.0,29,1
34,1,1000.0,0,1
21,1,3500.0,0,1
47,0,5000.0,1,1
8,0,2000.0,6,1
152,1,7500.0,0,1
118,1,4000.0,1,1
31,0,2000.0,0,1
90,1,2000.0,0,1
6,0,7500.0,2,1
64,0,10000.0,45,1
188,1,12000.0,9,1
0,0,5000.0,0,1
166,1,8000.0,17,1
47,0,6500.0,25,1
43,0,7000.0,5,1
35,1,1000.0,5,1
6,0,3000.0,3,1
57,1,2500.0,1,1
22,0,1000.0,3,1
5,0,2000.0,1,1
0,0,142.0,0,1
7,1,50.0,25,1
27,0,1000.0,0,1
5,0,2500.0,0,1
127,0,8700.0,0,1
72,1,2500.0,0,1
35,0,1750.0,7,1
30,1,2000.0,0,1
61,0,2500.0,108,1
0,0,13000.0,1,1
4,0,2500.0,1,1
26,0,8700.0,11,1
9,1,200.0,0,1
19,1,600.0,0,1
45,0,2000.0,1,1
307,1,12500.0,28,1
26,1,1000.0,19,1
5,0,800.0,4,1
148,1,10000.0,2,1
57,0,5000.0,6,1
31,0,14000.0,1,1
4,0,15000.0,1,1
138,1,5500.0,36,1
212,1,32500.0,35,1
4,0,5250.0,0,1
7,0,3500.0,7,1
6,0,1000.0,2,1
98,1,3000.0,16,1
1,0,50000.0,1,1
0,0,2500.0,1,1
21,0,10000.0,45,1
43,1,2000.0,2,1
57,1,1200.0,0,1
39,0,7500.0,10,1
0,0,1.0,0,1
100,0,3000.0,0,1
1,0,75.0,0,1
16,1,1000.0,0,1
14,0,450.0,4,1
3,0,5000.0,6,1
0,0,7000.0,77,1
47,0,4500.0,10,1
410,1,25000.0,1,1
0,0,1000.0,0,1
22,0,1700.0,0,1
34,0,5500.0,30,1
27,1,3000.0,37,1
7,0,4000.0,6,1
34,1,2000.0,2,1
2,0,2500.0,7,1
50,0,3250.0,47,1
17,0,4000.0,0,1
17,1,1600.0,0,1
0,0,1500.0,0,1
22,0,400.0,0,1
23,1,2000.0,12,1
0,0,2500.0,23,1
0,0,2500.0,0,1
59,0,5000.0,2,1
7,0,8000.0,62,1
15,0,2500.0,81,1
1,0,1000.0,0,1
101,0,11000.0,1,1
0,0,5000.0,1,1
12,1,250.0,3,1
179,0,45000.0,1,1
19,1,500.0,0,1
0,0,200.0,0,1
651,1,3000.0,50,1
47,1,3000.0,15,1
27,0,3000.0,41,1
54,1,2500.0,5,1
21,0,2800.0,1,1
1,0,10000.0,1,1
5,0,5000.0,13,1
85,1,4000.0,0,1
67,1,5000.0,21,1
92,1,2900.0,86,1
45,1,2000.0,0,1
42,1,10000.0,15,1
0,0,2000.0,0,1
71,1,3218.28,4,1
6,0,17775.0,90,1
5,0,500.0,0,1
46,0,10000.0,8,1
151,1,6500.0,0,1
46,1,2000.0,0,1
2,0,1500.0,3,1
2,0,5000.0,1,1
46,1,3500.0,2,1
3,0,2000.0,0,1
25,1,1000.0,0,1
6,0,5000.0,0,1
3,0,2050.0,10,1
51,1,7000.0,8,1
6,0,550.0,1,1
0,0,1000.0,1,1
9,0,700.0,0,1
5,0,25000.0,0,1
59,1,2000.0,5,1
49,1,7000.0,3,1
98,1,1000.0,1,1
63,1,3500.0,4,1
107,1,4000.0,207,1
13,0,2000.0,0,1
63,1,5000.0,51,1
33,0,1500.0,0,1
0,0,250.0,1,1
6,0,3000.0,3,1
29,0,800.0,1,1
60,1,2000.0,2,1
102,1,5000.0,37,1
7,0,15000.0,67,1
356,1,5000.0,71,1
36,1,1000.0,1,1
11,0,300.0,7,1
7,0,1000.0,15,1
3,0,4000.0,4,1
149,1,10000.0,23,1
70,0,3700.0,17,1
5,0,12600.0,1,1
27,1,2000.0,2,1
7,0,800.0,1,1
11,0,8000.0,6,1
36,0,3000.0,1,1
25,1,1000.0,1,1
26,0,5000.0,0,1
110,0,44000.0,11,1
39,1,2250.0,73,1
22,0,1900.0,79,1
49,1,1500.0,9,1
2,0,10000.0,0,1
114,0,5000.0,43,1
31,1,650.0,0,1
6,0,3000.0,40,1
33,1,900.0,12,1
41,1,3500.0,4,1
43,1,2500.0,8,1
22,0,28000.0,14,1
7,0,20000.0,0,1
0,0,4000.0,1,1
50,1,5000.0,8,1
131,1,6000.0,20,1
7,0,2500.0,2,1
70,1,3000.0,47,1
3,0,11500.0,2,1
65,0,2000.0,27,1
1,0,50000.0,10,1
10,0,8500.0,1,1
36,1,1000.0,19,1
84,1,3500.0,12,1
1,0,7000.0,0,1
24,1,1000.0,13,1
4,0,4000.0,0,1
0,0,1200.0,58,1
72,0,4200.0,0,1
0,0,55000.0,0,1
14,0,750.0,1,1
3,0,5000.0,100,1
52,1,2500.0,7,1
0,0,10000.0,4,1
50,1,3200.0,0,1
4,0,6000.0,0,1
19,0,50000.0,13,1
36,1,1800.0,56,1
130,1,11750.0,3,1
48,1,800.0,0,1
1,0,16900.0,0,1
20,1,1575.0,4,1
4,0,300.0,0,1
5,0,2500.0,5,1
14,0,6000.0,0,1
5,0,5000.0,1,1
18,0,3500.0,1,1
182,1,10000.0,3,1
2,0,1500.0,2,1
79,1,3000.0,84,1
14,0,20000.0,6,1
56,1,2000.0,1,1
53,1,3000.0,1,1
42,0,7000.0,7,1
102,1,6000.0,2,1
56,0,15000.0,1,1
146,0,8000.0,9,1
20,1,1000.0,1,1
90,1,3000.0,2,1
97,1,3000.0,30,1
86,1,2000.0,2,1
63,0,10000.0,18,1
22,1,1000.0,2,1
0,0,5000.0,35,1
0,0,1111.0,0,1
0,0,250.0,8,1
0,0,5000.0,0,1
0,0,4750.0,0,1
51,1,4000.0,2,1
68,0,5000.0,0,1
45,1,2000.0,6,1
3,0,3500.0,0,1
0,0,750.0,0,1
30,1,500.0,2,1
36,1,1000.0,101,1
42,0,3000.0,25,1
0,0,1000.0,1,1
52,1,1200.0,1,1
48,0,3600.0,11,1
7,0,1500.0,87,1
0,0,6000.0,0,1
43,1,2000.0,1,1
0,0,4200.0,18,1
189,1,10000.0,25,1
110,1,7500.0,5,1
0,0,1000.0,0,1
0,0,200.0,0,1
34,1,3000.0,7,1
42,1,1500.0,0,1
0,0,9000.0,4,1
45,0,5250.0,39,1
22,0,2000.0,0,1
279,1,3800.0,20,1
4,0,10000.0,3,1
1,0,5000.0,20,1
99,1,7500.0,121,1
9,1,200.0,0,1
0,0,25000.0,1,1
8,0,1000.0,0,1
207,1,5000.0,20,1
25,1,1000.0,0,1
165,0,5000.0,7,1
3,0,600.0,0,1
19,0,1800.49,1,1
0,0,3500.0,1,1
12,1,1000.0,4,1
85,1,15000.0,32,1
32,0,6000.0,3,1
11,0,4276.0,0,0
10,1,100.0,2,1
59,0,2500.0,11,1
229,1,10000.0,3,1
9,0,3000.0,0,1
52,1,5000.0,1,1
36,1,2000.0,15,1
110,1,500.0,2,1
107,0,14500.0,29,1
22,1,350.0,3,1
15,0,999.0,1,1
32,0,3000.0,1,1
197,1,10000.0,4,1
10,0,500.0,4,1
209,1,10000.0,3,1
22,0,5000.0,11,1
102,0,10000.0,12,1
46,0,2000.0,1,1
17,1,650.0,0,1
51,1,2000.0,3,1
33,0,1200.0,5,1
68,1,1500.0,0,1
0,0,9000.0,0,1
1,0,2500.0,1,1
14,0,2500.0,1,1
60,1,3000.0,28,1
12,1,400.0,1,1
3,0,2500.0,38,1
163,1,3800.0,0,1
106,1,5000.0,25,1
45,0,15000.0,5,1
1,0,1500.0,30,1
20,1,1200.0,151,1
12,1,500.0,1,1
65,1,3000.0,0,1
20,0,30000.0,0,1
0,0,7000.0,1,1
0,0,400.0,1,1
155,0,15194.18,30,1
19,0,2500.0,1,1
3,0,17500.0,1,1
13,0,2000.0,12,1
25,1,1620.0,3,1
47,1,3000.0,5,1
295,1,15000.0,12,1
97,1,5000.0,6,1
17,1,450.0,0,1
47,1,1500.0,20,1
1,0,2600.0,0,1
3,0,1250.0,0,1
3,0,50000.0,2,1
34,1,1050.0,0,1
9,1,250.0,5,1
134,1,5000.0,19,1
51,0,1200.0,0,1
3,0,5000.0,37,1
40,1,1800.0,0,1
33,1,1000.0,4,1
85,0,70000.0,22,1
47,0,5000.0,4,1
50,1,5000.0,6,1
5,0,2500.0,4,1
6,0,55000.0,19,1
4,0,2500.0,5,1
56,0,5000.0,6,1
93,0,6800.0,2,1
93,0,5500.0,8,1
27,0,10000.0,115,1
0,0,5000.0,7,1
19,0,5000.0,0,1
0,0,5000.0,7,1
118,1,10000.0,2,1
5,0,500.0,1,1
32,1,1500.0,3,1
14,0,1200.0,1,1
31,0,5000.0,28,1
29,0,3000.0,22,1
7,0,6000.0,1,1
101,1,3000.0,1,1
91,1,9000.0,1,1
0,0,15000.0,101,1
5,0,10800.0,0,1
0,0,1000.0,1,1
10,0,3000.0,41,1
48,1,1500.0,26,1
43,0,3500.0,1,1
19,1,1500.0,6,1
92,1,5000.0,80,1
55,1,2500.0,1,1
18,1,350.0,0,1
48,1,3000.0,19,1
58,1,3000.0,0,1
68,1,3000.0,1,1
9,0,3500.0,6,1
111,1,5000.0,20,1
54,1,4000.0,0,1
50,1,3000.0,59,1
2,0,4600.0,5,1
27,0,5000.0,8,1
3,0,5000.0,0,1
0,0,15000.0,1,1
75,1,7000.0,9,1
111,1,4000.0,9,1
48,1,3000.0,4,1
1,0,700.0,0,1
218,1,6500.0,2,1
131,1,6000.0,8,1
3,0,1200.0,3,1
109,1,1000.0,8,1
13,1,1500.0,11,1
107,0,9000.0,7,1
7,0,6500.0,4,1
3,0,4000.0,0,1
112,1,4100.0,1,1
3,0,2000.0,14,1
66,1,2500.0,15,1
19,1,2400.0,0,1
42,0,15000.0,2,1
81,0,6000.0,19,1
32,0,12500.0,7,1
35,0,2500.0,3,1
6,0,650.0,0,1
8,0,15000.0,1,1
4,0,6500.0,1,1
1,0,1500.0,1,1
65,0,6000.0,8,1
60,1,10000.0,2,1
40,0,2500.0,0,1
49,1,3000.0,5,1
27,0,4500.0,1,1
27,0,3000.0,1,1
15,0,3040.0,4,1
53,0,4000.0,6,1
28,1,1500.0,3,1
38,1,2000.0,0,1
0,0,250.0,0,1
113,1,2800.0,50,1
3,0,5000.0,0,1
16,1,200.0,1,1
54,1,1600.0,22,1
27,0,2500.0,0,1
1,0,2920.0,1,1
14,1,300.0,8,1
65,1,4000.0,4,1
31,1,500.0,0,1
103,1,5000.0,9,1
16,0,8000.0,3,1
42,1,5000.0,9,1
27,1,500.0,2,1
23,0,4000.0,49,1
2,0,1000.0,0,1
6,0,300.0,1,1
3,0,7500.0,4,1
0,0,3000.0,1,1
61,1,3000.0,7,1
60,0,2500.0,3,1
106,1,6000.0,0,1
24,0,5000.0,4,1
34,0,2500.0,1,1
5,0,19000.0,11,1
180,0,20000.0,11,1
56,0,4000.0,19,1
4,0,2500.0,8,1
96,1,5000.0,176,1
3,0,10000.0,0,1
7,0,15000.0,0,1
236,1,25000.0,16,1
51,1,3000.0,5,1
40,1,3600.0,1,1
66,1,5000.0,146,1
24,1,2000.0,1,1
66,0,10000.0,0,0
139,1,3000.0,0,1
139,0,17000.0,9,1
12,0,750.0,15,1
22,0,5000.0,11,1
34,1,1650.0,0,1
43,0,1500.0,1,1
11,1,1000.0,1,1
34,0,6000.0,15,1
67,0,3500.0,10,1
17,1,800.0,6,1
53,1,750.0,18,1
110,1,1050.0,0,1
52,1,3000.0,1,0
40,0,3000.0,0,1
57,0,12000.0,1,1
32,0,2000.0,3,1
115,1,1000.0,0,1
44,0,2000.0,14,1
2,0,1500.0,3,1
139,1,10000.0,6,1
21,1,500.0,0,1
0,0,10000.0,5,1
11,1,750.0,7,1
38,0,7500.0,1,1
17,1,300.0,8,1
1,0,10000.0,12,1
1,0,1000.0,95,1
71,1,15000.0,5,1
54,0,5000.0,24,1
25,1,800.0,15,1
109,1,6000.0,12,1
2,0,1250.0,0,1
8,0,3000.0,15,1
16,0,800.0,43,1
35,1,2500.0,14,1
108,0,3500.0,14,1
32,1,2000.0,1,1
0,0,7500.0,0,1
32,0,4600.0,1,1
36,0,4000.0,1,1
36,1,3000.0,2,1
7,0,9000.0,18,1
122,1,6000.0,1,1
3,0,10000.0,1,1
70,1,5000.0,2,1
48,0,7500.0,1,1
75,1,5000.0,1,1
24,1,2500.0,16,1
20,0,6000.0,18,1
7,0,3000.0,11,1
59,1,9000.0,37,1
3,0,2700.0,1,1
26,0,2000.0,11,1
0,0,25000.0,1,1
133,1,10000.0,103,0
11,0,600.0,1,1
24,0,500.0,0,1
109,1,7777.0,5,1
2,0,1500.0,0,1
0,0,5000.0,0,1
7,0,3000.0,0,1
18,0,3500.0,1,1
5,0,10000.0,8,1
24,0,3500.0,3,1
108,1,5000.0,24,1
45,0,5000.0,1,1
12,0,4000.0,4,1
47,1,8450.0,3,1
25,0,1200.0,0,1
35,1,4000.0,2,1
26,0,1500.0,1,1
81,0,5000.0,3,1
1,0,10000.0,4,1
23,1,1100.0,57,1
2,0,5000.0,4,1
58,1,5000.0,52,1
